@relation train_cleaned

@attribute row_id numeric
@attribute Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {male,female}
@attribute Age {0,1,2,3,4,5,6,7}
@attribute SibSp numeric
@attribute Parch numeric
@attribute Fare {0,1,2,3}
@attribute Embarked {Q,S,C}
@attribute Deck {1,2,3,4,5,6,7,8}
@attribute Title {1,2,3,4,5}
@attribute family_size numeric
@attribute is_alone {0,1}
@attribute small_family {0,1}
@attribute large_family {0,1}

@data
45,0,3,male,1,0,0,1,S,8,1,1,1,0,0
46,0,3,male,4,1,0,2,Q,8,1,2,0,1,0
47,1,3,female,1,0,0,0,Q,8,2,1,1,0,0
48,0,3,male,4,2,0,2,C,8,1,3,0,1,0
49,0,3,female,1,1,0,2,S,8,3,2,0,1,0
50,0,3,male,0,4,1,3,S,8,4,6,0,0,1
51,0,3,male,2,0,0,0,S,8,1,1,1,0,0
52,1,1,female,6,1,0,3,C,4,3,2,0,1,0
53,1,2,female,4,1,0,2,S,8,3,2,0,1,0
54,0,1,male,6,0,1,3,C,2,1,2,0,1,0
55,1,1,male,6,0,0,3,S,3,1,1,1,0,0
56,1,2,female,2,0,0,1,S,8,2,1,1,0,0
57,0,3,male,4,0,0,0,C,8,1,1,1,0,0
58,1,2,female,0,1,2,2,S,8,2,4,0,1,0
59,0,3,male,0,5,2,3,S,8,4,8,0,0,1
60,0,3,male,2,0,0,0,C,8,1,1,1,0,0
61,1,1,female,5,0,0,3,S,2,2,1,1,0,0
62,0,1,male,6,1,0,3,S,3,1,2,0,1,0
63,0,3,male,0,3,2,2,S,8,4,6,0,0,1
64,0,1,male,1,0,0,2,C,8,1,1,1,0,0
65,1,3,male,5,1,1,2,C,8,4,3,0,1,0
66,1,2,female,4,0,0,1,S,6,3,1,1,0,0
67,0,3,male,2,0,0,1,S,8,1,1,1,0,0
68,1,3,female,1,4,2,0,S,8,2,7,0,0,1
69,0,3,male,3,2,0,1,S,8,1,3,0,1,0
70,0,2,male,4,0,0,1,S,8,1,1,1,0,0
71,0,3,female,1,5,2,3,S,8,2,8,0,0,1
72,0,2,male,2,0,0,3,S,8,1,1,1,0,0
73,0,3,male,3,1,0,1,C,8,1,2,0,1,0
74,1,3,male,4,0,0,3,S,8,1,1,1,0,0
75,0,3,male,3,0,0,0,S,6,1,1,1,0,0
76,0,3,male,3,0,0,0,S,8,1,1,1,0,0
77,0,3,male,4,0,0,1,S,8,1,1,1,0,0
78,1,2,male,0,0,2,2,S,8,4,3,0,1,0
79,1,3,female,4,0,0,1,S,8,2,1,1,0,0
80,0,3,male,2,0,0,1,S,8,1,1,1,0,0
81,1,3,male,4,0,0,1,S,8,1,1,1,0,0
82,1,3,female,5,0,0,0,Q,8,2,1,1,0,0
83,0,1,male,4,0,0,3,S,8,1,1,1,0,0
84,1,2,female,1,0,0,1,S,8,2,1,1,0,0
85,1,3,female,4,3,0,2,S,8,3,4,0,1,0
86,0,3,male,1,1,3,3,S,8,1,5,0,0,1
87,0,3,male,2,0,0,1,S,8,1,1,1,0,0
88,1,1,female,3,3,2,3,S,3,2,6,0,0,1
89,0,3,male,3,0,0,1,S,8,1,1,1,0,0
90,0,3,male,4,0,0,1,S,8,1,1,1,0,0
91,0,3,male,2,0,0,0,S,8,1,1,1,0,0
92,0,1,male,6,1,0,3,S,5,1,2,0,1,0
93,0,3,male,3,1,2,2,S,8,1,4,0,1,0
94,0,3,male,6,0,0,0,S,8,1,1,1,0,0
95,0,3,male,5,0,0,1,S,8,1,1,1,0,0
96,0,1,male,7,0,0,3,C,1,1,1,1,0,0
97,1,1,male,3,0,1,3,C,4,1,2,0,1,0
98,1,2,female,5,0,1,2,S,8,3,2,0,1,0
99,0,2,male,5,1,0,2,S,8,1,2,0,1,0
100,0,3,female,4,0,0,0,S,8,2,1,1,0,0
101,0,3,male,5,0,0,0,S,8,1,1,1,0,0
102,0,1,male,2,0,1,3,S,4,1,2,0,1,0
103,0,3,male,4,0,0,1,S,8,1,1,1,0,0
104,0,3,male,5,2,0,0,S,8,1,3,0,1,0
105,0,3,male,4,0,0,0,S,8,1,1,1,0,0
106,1,3,female,2,0,0,0,S,8,2,1,1,0,0
107,1,3,male,2,0,0,0,S,8,1,1,1,0,0
108,0,3,male,5,0,0,0,S,8,1,1,1,0,0
109,1,3,female,4,1,0,2,Q,8,2,2,0,1,0
110,0,1,male,6,0,0,3,S,3,1,1,1,0,0
111,0,3,female,1,1,0,1,C,8,2,2,0,1,0
112,0,3,male,2,0,0,1,S,8,1,1,1,0,0
113,0,3,female,2,1,0,1,S,8,2,2,0,1,0
114,0,3,female,1,0,0,1,C,8,2,1,1,0,0
115,0,3,male,2,0,0,0,S,8,1,1,1,0,0
116,0,3,male,7,0,0,0,Q,8,1,1,1,0,0
117,0,2,male,4,1,0,2,S,8,1,2,0,1,0
118,0,1,male,3,0,1,3,C,2,1,2,0,1,0
119,0,3,female,0,4,2,2,S,8,2,7,0,0,1
120,0,2,male,2,2,0,3,S,8,1,3,0,1,0
121,0,3,male,5,0,0,1,S,8,1,1,1,0,0
122,0,2,male,4,1,0,2,C,8,1,2,0,1,0
123,1,2,female,4,0,0,1,S,5,2,1,1,0,0
124,0,1,male,6,0,1,3,S,4,1,2,0,1,0
125,1,3,male,1,1,0,1,C,8,4,2,0,1,0
126,0,3,male,6,0,0,0,Q,8,1,1,1,0,0
127,1,3,male,3,0,0,0,S,8,1,1,1,0,0
128,1,3,female,1,1,1,2,C,6,2,3,0,1,0
129,0,3,male,6,0,0,0,S,8,1,1,1,0,0
130,0,3,male,4,0,0,0,C,8,1,1,1,0,0
131,0,3,male,2,0,0,0,S,8,1,1,1,0,0
132,0,3,female,6,1,0,1,S,8,3,2,0,1,0
133,1,2,female,4,1,0,2,S,8,3,2,0,1,0
134,0,2,male,3,0,0,1,S,8,1,1,1,0,0
135,0,2,male,3,0,0,2,C,8,1,1,1,0,0
136,1,1,female,2,0,2,2,S,4,2,3,0,1,0
137,0,1,male,5,1,0,3,S,3,1,2,0,1,0
138,0,3,male,1,0,0,1,S,8,1,1,1,0,0
139,0,1,male,3,0,0,3,C,2,1,1,1,0,0
140,0,3,female,3,0,2,2,C,8,3,3,0,1,0
141,1,3,female,2,0,0,0,S,8,2,1,1,0,0
142,1,3,female,3,1,0,2,S,8,3,2,0,1,0
143,0,3,male,2,0,0,0,Q,8,1,1,1,0,0
144,0,2,male,1,0,0,1,S,8,1,1,1,0,0
145,0,2,male,2,1,1,3,S,8,1,3,0,1,0
146,1,3,male,3,0,0,0,S,8,1,1,1,0,0
147,0,3,female,0,2,2,3,S,8,2,5,0,0,1
148,0,2,male,5,0,2,2,S,6,1,3,0,1,0
149,0,2,male,6,0,0,1,S,8,5,1,1,0,0
150,0,2,male,6,0,0,1,S,8,5,1,1,0,0
151,1,1,female,2,1,0,3,S,3,3,2,0,1,0
152,0,3,male,6,0,0,1,S,8,1,1,1,0,0
153,0,3,male,5,0,2,1,S,8,1,3,0,1,0
154,0,3,male,5,0,0,0,S,8,1,1,1,0,0
155,0,1,male,6,0,1,3,C,8,1,2,0,1,0
156,1,3,female,1,0,0,0,Q,8,2,1,1,0,0
157,0,3,male,4,0,0,1,S,8,1,1,1,0,0
158,0,3,male,5,0,0,1,S,8,1,1,1,0,0
159,0,3,male,4,8,2,3,S,8,4,11,0,0,1
160,0,3,male,6,0,1,2,S,8,1,2,0,1,0
161,1,2,female,5,0,0,2,S,8,3,1,1,0,0
162,0,3,male,3,0,0,0,S,8,1,1,1,0,0
163,0,3,male,1,0,0,1,S,8,1,1,1,0,0
164,0,3,male,0,4,1,3,S,8,4,6,0,0,1
165,1,3,male,0,0,2,2,S,8,4,3,0,1,0
166,1,1,female,4,0,1,3,S,5,3,2,0,1,0
167,0,3,female,6,1,4,2,S,8,3,6,0,0,1
168,0,1,male,6,0,0,2,S,8,1,1,1,0,0
169,0,3,male,4,0,0,3,S,8,1,1,1,0,0
170,0,1,male,6,0,0,3,S,2,1,1,1,0,0
171,0,3,male,0,4,1,2,Q,8,4,6,0,0,1
172,1,3,female,0,1,1,1,S,8,2,3,0,1,0
173,0,3,male,2,0,0,0,S,8,1,1,1,0,0
174,0,1,male,6,0,0,2,C,1,1,1,1,0,0
175,0,3,male,1,1,1,0,S,8,1,3,0,1,0
176,0,3,male,3,3,1,2,S,8,4,5,0,0,1
177,0,1,female,6,0,0,2,C,3,2,1,1,0,0
178,0,2,male,4,0,0,1,S,8,1,1,1,0,0
179,0,3,male,5,0,0,0,S,8,1,1,1,0,0
180,0,3,female,3,8,2,3,S,8,2,11,0,0,1
181,0,2,male,5,0,0,2,C,8,1,1,1,0,0
182,0,3,male,0,4,2,2,S,8,4,7,0,0,1
183,1,2,male,0,2,1,3,S,6,4,4,0,1,0
184,1,3,female,0,0,2,2,S,8,2,3,0,1,0
185,0,1,male,5,0,0,3,S,1,1,1,1,0,0
186,1,3,female,1,1,0,2,Q,8,3,2,0,1,0
187,1,1,male,6,0,0,2,S,8,1,1,1,0,0
188,0,3,male,5,1,1,2,Q,8,1,3,0,1,0
189,0,3,male,5,0,0,0,S,8,1,1,1,0,0
190,1,2,female,4,0,0,1,S,8,3,1,1,0,0
191,0,2,male,2,0,0,1,S,8,1,1,1,0,0
192,1,3,female,2,1,0,0,S,8,2,2,0,1,0
193,1,2,male,0,1,1,2,S,6,4,3,0,1,0
194,1,1,female,6,0,0,2,C,2,3,1,1,0,0
195,1,1,female,6,0,0,3,C,2,2,1,1,0,0
196,0,3,male,3,0,0,0,Q,8,1,1,1,0,0
197,0,3,male,6,0,1,1,S,8,1,2,0,1,0
198,1,3,female,2,0,0,0,Q,8,2,1,1,0,0
199,0,2,female,3,0,0,1,S,8,2,1,1,0,0
200,0,3,male,4,0,0,1,S,8,1,1,1,0,0
201,0,3,male,4,8,2,3,S,8,1,11,0,0,1
202,0,3,male,5,0,0,0,S,8,1,1,1,0,0
203,0,3,male,6,0,0,0,C,8,1,1,1,0,0
204,1,3,male,1,0,0,1,S,8,1,1,1,0,0
205,0,3,female,0,0,1,1,S,7,2,2,0,1,0
206,0,3,male,4,1,0,2,S,8,1,2,0,1,0
207,1,3,male,3,0,0,2,C,8,1,1,1,0,0
208,1,3,female,1,0,0,0,Q,8,2,1,1,0,0
209,1,1,male,5,0,0,2,C,1,1,1,1,0,0
210,0,3,male,3,0,0,0,S,8,1,1,1,0,0
211,1,2,female,5,0,0,2,S,8,2,1,1,0,0
212,0,3,male,2,0,0,0,S,8,1,1,1,0,0
213,0,2,male,4,0,0,1,S,8,1,1,1,0,0
214,0,3,male,3,1,0,0,Q,8,1,2,0,1,0
215,1,1,female,4,1,0,3,C,4,2,2,0,1,0
216,1,3,female,3,0,0,0,S,8,2,1,1,0,0
217,0,2,male,6,1,0,2,S,8,1,2,0,1,0
218,1,1,female,4,0,0,3,C,4,2,1,1,0,0
219,0,2,male,4,0,0,1,S,8,1,1,1,0,0
220,1,3,male,1,0,0,1,S,8,1,1,1,0,0
221,0,2,male,3,0,0,1,S,8,1,1,1,0,0
222,0,3,male,6,0,0,1,S,8,1,1,1,0,0
223,0,3,male,4,0,0,0,S,8,1,1,1,0,0
224,1,1,male,5,1,0,3,S,3,1,2,0,1,0
225,0,3,male,2,0,0,1,S,8,1,1,1,0,0
226,1,2,male,2,0,0,1,S,8,1,1,1,0,0
227,0,3,male,2,0,0,0,S,8,1,1,1,0,0
228,0,2,male,1,0,0,1,S,8,1,1,1,0,0
229,0,3,female,5,3,1,2,S,8,2,5,0,0,1
230,1,1,female,5,1,0,3,S,3,3,2,0,1,0
231,0,3,male,4,0,0,0,S,8,1,1,1,0,0
232,0,2,male,6,0,0,1,S,8,1,1,1,0,0
233,1,3,female,0,4,2,2,S,8,2,7,0,0,1
234,0,2,male,3,0,0,1,S,8,1,1,1,0,0
235,0,3,female,2,0,0,0,S,8,2,1,1,0,0
236,0,2,male,6,1,0,2,S,8,1,2,0,1,0
237,1,2,female,0,0,2,2,S,8,2,3,0,1,0
238,0,2,male,2,0,0,1,S,8,1,1,1,0,0
239,0,2,male,4,0,0,1,S,8,1,1,1,0,0
240,0,3,female,1,1,0,1,C,8,2,2,0,1,0
241,1,3,female,4,1,0,2,Q,8,2,2,0,1,0
242,0,2,male,4,0,0,1,S,8,1,1,1,0,0
243,0,3,male,2,0,0,0,S,8,1,1,1,0,0
244,0,3,male,4,0,0,0,C,8,1,1,1,0,0
245,0,1,male,6,2,0,3,Q,3,5,3,0,1,0
246,0,3,female,3,0,0,0,S,8,2,1,1,0,0
247,1,2,female,3,0,2,1,S,8,3,3,0,1,0
248,1,1,male,5,1,1,3,S,4,1,3,0,1,0
249,0,2,male,6,1,0,2,S,8,5,2,0,1,0
250,0,3,male,2,0,0,0,S,8,1,1,1,0,0
251,0,3,female,4,1,1,1,S,7,3,3,0,1,0
252,0,1,male,6,0,0,2,S,3,1,1,1,0,0
253,0,3,male,4,1,0,2,S,8,1,2,0,1,0
254,0,3,female,6,0,2,2,S,8,3,3,0,1,0
255,1,3,female,4,0,2,2,C,8,3,3,0,1,0
256,1,1,female,1,0,0,3,C,8,3,1,1,0,0
257,1,1,female,4,0,0,3,S,2,2,1,1,0,0
258,1,1,female,5,0,0,3,C,8,2,1,1,0,0
259,1,2,female,6,0,1,2,S,8,3,2,0,1,0
260,0,3,male,5,0,0,0,Q,8,1,1,1,0,0
261,1,3,male,0,4,2,2,S,8,4,7,0,0,1
262,0,1,male,6,1,1,3,S,5,1,3,0,1,0
263,0,1,male,5,0,0,0,S,2,1,1,1,0,0
264,0,3,female,1,0,0,0,Q,8,2,1,1,0,0
265,0,2,male,5,0,0,1,S,8,1,1,1,0,0
266,0,3,male,1,4,1,3,S,8,1,6,0,0,1
267,1,3,male,3,1,0,0,S,8,1,2,0,1,0
268,1,1,female,6,0,1,3,S,3,3,2,0,1,0
269,1,1,female,5,0,0,3,S,3,2,1,1,0,0
270,0,1,male,6,0,0,2,S,8,1,1,1,0,0
271,1,3,male,3,0,0,0,S,8,1,1,1,0,0
272,1,2,female,6,0,1,2,S,8,3,2,0,1,0
273,0,1,male,5,0,1,2,C,3,1,2,0,1,0
274,1,3,female,3,0,0,0,Q,8,2,1,1,0,0
275,1,1,female,6,1,0,3,S,4,2,2,0,1,0
276,0,3,female,6,0,0,0,S,8,2,1,1,0,0
277,0,2,male,2,0,0,0,S,8,1,1,1,0,0
278,0,3,male,0,4,1,2,Q,8,4,6,0,0,1
279,1,3,female,5,1,1,2,S,8,3,3,0,1,0
280,0,3,male,6,0,0,0,Q,8,1,1,1,0,0
281,0,3,male,4,0,0,0,S,8,1,1,1,0,0
282,0,3,male,1,0,0,1,S,8,1,1,1,0,0
283,1,3,male,2,0,0,1,S,8,1,1,1,0,0
284,0,1,male,6,0,0,2,S,1,1,1,1,0,0
285,0,3,male,4,0,0,1,C,8,1,1,1,0,0
286,1,3,male,4,0,0,1,S,8,1,1,1,0,0
287,0,3,male,2,0,0,0,S,8,1,1,1,0,0
288,1,2,male,6,0,0,1,S,8,1,1,1,0,0
289,1,3,female,2,0,0,0,Q,8,2,1,1,0,0
290,1,1,female,3,0,0,3,S,8,2,1,1,0,0
291,1,1,female,2,1,0,3,C,2,3,2,0,1,0
292,0,2,male,5,0,0,1,C,4,1,1,1,0,0
293,0,3,female,3,0,0,1,S,8,2,1,1,0,0
294,0,3,male,3,0,0,0,S,8,1,1,1,0,0
295,0,1,male,5,0,0,2,C,8,1,1,1,0,0
296,0,3,male,3,0,0,0,C,8,1,1,1,0,0
297,0,1,female,0,1,2,3,S,3,2,4,0,1,0
298,1,1,male,6,0,0,2,S,3,1,1,1,0,0
299,1,1,female,6,0,1,3,C,2,3,2,0,1,0
300,1,3,female,5,0,0,0,Q,8,2,1,1,0,0
301,1,3,male,1,2,0,2,Q,8,1,3,0,1,0
302,0,3,male,2,0,0,0,S,8,1,1,1,0,0
303,1,2,female,5,0,0,1,Q,5,2,1,1,0,0
304,0,3,male,5,0,0,1,S,8,1,1,1,0,0
305,1,1,male,0,1,2,3,S,3,4,4,0,1,0
306,1,1,female,5,0,0,3,C,8,2,1,1,0,0
307,1,1,female,1,1,0,3,C,3,3,2,0,1,0
308,0,2,male,4,1,0,2,C,8,1,2,0,1,0
309,1,1,female,4,0,0,3,C,5,2,1,1,0,0
310,1,1,female,3,0,0,3,C,3,2,1,1,0,0
311,1,1,female,1,2,2,3,C,2,2,5,0,0,1
312,0,2,female,3,1,1,2,S,8,3,3,0,1,0
313,0,3,male,4,0,0,0,S,8,1,1,1,0,0
314,0,2,male,6,1,1,2,S,8,1,3,0,1,0
315,1,3,female,3,0,0,0,S,8,2,1,1,0,0
316,1,2,female,3,1,0,2,S,8,3,2,0,1,0
317,0,2,male,6,0,0,1,S,8,5,1,1,0,0
318,1,1,female,4,0,2,3,S,3,2,3,0,1,0
319,1,1,female,5,1,1,3,C,5,3,3,0,1,0
320,0,3,male,2,0,0,0,S,8,1,1,1,0,0
321,0,3,male,3,0,0,0,S,8,1,1,1,0,0
322,1,2,female,4,0,0,1,Q,8,2,1,1,0,0
323,1,2,female,2,1,1,2,S,8,3,3,0,1,0
324,0,3,male,6,8,2,3,S,8,1,11,0,0,1
325,1,1,female,5,0,0,3,C,3,2,1,1,0,0
326,0,3,male,6,0,0,0,S,8,1,1,1,0,0
327,1,2,female,5,0,0,1,S,4,3,1,1,0,0
328,1,3,female,4,1,1,2,S,8,3,3,0,1,0
329,1,1,female,1,0,1,3,C,2,2,2,0,1,0
330,1,3,female,4,2,0,2,Q,8,2,3,0,1,0
331,0,1,male,6,0,0,2,S,3,1,1,1,0,0
332,0,1,male,5,0,1,3,S,3,1,2,0,1,0
333,0,3,male,1,2,0,2,S,8,1,3,0,1,0
334,1,1,female,5,1,0,3,S,8,3,2,0,1,0
335,0,3,male,5,0,0,0,S,8,1,1,1,0,0
336,0,1,male,4,1,0,3,S,3,1,2,0,1,0
337,1,1,female,6,0,0,3,C,5,2,1,1,0,0
338,1,3,male,6,0,0,1,S,8,1,1,1,0,0
339,0,1,male,6,0,0,3,S,8,1,1,1,0,0
340,1,2,male,0,1,1,2,S,6,4,3,0,1,0
341,1,1,female,3,3,2,3,S,3,2,6,0,0,1
342,0,2,male,4,0,0,1,S,8,1,1,1,0,0
343,0,2,male,3,0,0,1,S,8,1,1,1,0,0
344,0,2,male,5,0,0,1,S,8,1,1,1,0,0
345,1,2,female,3,0,0,1,S,6,2,1,1,0,0
346,1,2,female,5,0,0,1,S,8,2,1,1,0,0
347,1,3,female,1,1,0,2,S,8,3,2,0,1,0
348,1,3,male,0,1,1,2,S,8,4,3,0,1,0
349,0,3,male,6,0,0,1,S,8,1,1,1,0,0
350,0,3,male,3,0,0,1,S,8,1,1,1,0,0
351,0,1,male,5,0,0,3,S,3,1,1,1,0,0
352,0,3,male,1,1,1,0,C,8,1,3,0,1,0
353,0,3,male,3,1,0,2,S,8,1,2,0,1,0
354,0,3,male,5,0,0,0,C,8,1,1,1,0,0
355,0,3,male,4,0,0,1,S,8,1,1,1,0,0
356,1,1,female,2,0,1,3,S,5,2,2,0,1,0
357,0,2,female,5,0,0,1,S,8,2,1,1,0,0
358,1,3,female,4,0,0,0,Q,8,2,1,1,0,0
359,1,3,female,6,0,0,0,Q,8,2,1,1,0,0
360,0,3,male,5,1,4,2,S,8,1,6,0,0,1
361,0,2,male,4,1,0,2,C,8,1,2,0,1,0
362,0,3,female,6,0,1,1,C,8,3,2,0,1,0
363,0,3,male,5,0,0,0,S,8,1,1,1,0,0
364,0,3,male,6,1,0,2,Q,8,1,2,0,1,0
365,0,3,male,4,0,0,0,S,8,1,1,1,0,0
366,1,1,female,6,1,0,3,C,4,3,2,0,1,0
367,1,3,female,3,0,0,0,C,8,3,1,1,0,0
368,1,3,female,4,0,0,0,Q,8,2,1,1,0,0
369,1,1,female,3,0,0,3,C,2,3,1,1,0,0
370,1,1,male,3,1,0,3,C,5,1,2,0,1,0
371,0,3,male,1,1,0,0,S,8,1,2,0,1,0
372,0,3,male,2,0,0,1,S,8,1,1,1,0,0
373,0,1,male,2,0,0,3,C,8,1,1,1,0,0
374,0,3,female,0,3,1,2,S,8,2,5,0,0,1
375,1,1,female,4,1,0,3,C,8,3,2,0,1,0
376,1,3,female,2,0,0,0,S,8,2,1,1,0,0
377,0,1,male,3,0,2,3,C,3,1,3,0,1,0
378,0,3,male,2,0,0,0,C,8,1,1,1,0,0
379,0,3,male,2,0,0,0,S,8,1,1,1,0,0
380,1,1,female,6,0,0,3,C,8,2,1,1,0,0
381,1,3,female,0,0,2,2,C,8,2,3,0,1,0
382,0,3,male,4,0,0,0,S,8,1,1,1,0,0
383,1,1,female,5,1,0,3,S,8,3,2,0,1,0
384,0,3,male,5,0,0,0,S,8,1,1,1,0,0
385,0,2,male,1,0,0,3,S,8,1,1,1,0,0
386,0,3,male,0,5,2,3,S,8,4,8,0,0,1
387,1,2,female,5,0,0,1,S,8,2,1,1,0,0
388,0,3,male,5,0,0,0,Q,8,1,1,1,0,0
389,1,2,female,1,0,0,1,C,8,2,1,1,0,0
390,1,1,male,5,1,2,3,S,2,1,4,0,1,0
391,1,3,male,2,0,0,0,S,8,1,1,1,0,0
392,0,3,male,4,2,0,0,S,8,1,3,0,1,0
393,1,1,female,3,1,0,3,C,4,2,2,0,1,0
394,1,3,female,3,0,2,2,S,7,3,3,0,1,0
395,0,3,male,2,0,0,0,S,8,1,1,1,0,0
396,0,3,female,4,0,0,0,S,8,2,1,1,0,0
397,0,2,male,6,0,0,2,S,8,1,1,1,0,0
398,0,2,male,3,0,0,1,S,8,5,1,1,0,0
399,1,2,female,4,0,0,1,S,8,3,1,1,0,0
400,1,3,male,5,0,0,0,S,8,1,1,1,0,0
401,0,3,male,3,0,0,1,S,8,1,1,1,0,0
402,0,3,female,2,1,0,1,S,8,2,2,0,1,0
403,0,3,male,4,1,0,2,S,8,1,2,0,1,0
404,0,3,female,2,0,0,1,S,8,2,1,1,0,0
405,0,2,male,5,1,0,2,S,8,1,2,0,1,0
406,0,3,male,6,0,0,0,S,8,1,1,1,0,0
407,1,2,male,0,1,1,2,S,8,4,3,0,1,0
408,0,3,male,2,0,0,0,S,8,1,1,1,0,0
409,0,3,female,5,3,1,2,S,8,2,5,0,0,1
410,0,3,male,5,0,0,0,S,8,1,1,1,0,0
411,0,3,male,5,0,0,0,Q,8,1,1,1,0,0
412,1,1,female,4,1,0,3,Q,3,2,2,0,1,0
413,0,2,male,4,0,0,0,S,8,1,1,1,0,0
414,1,3,male,6,0,0,0,S,8,1,1,1,0,0
415,0,3,female,1,0,0,1,S,8,3,1,1,0,0
416,1,2,female,5,1,1,3,S,8,3,3,0,1,0
417,1,2,female,1,0,2,1,S,8,2,3,0,1,0
418,0,2,male,4,0,0,1,S,8,1,1,1,0,0
419,0,3,female,0,0,2,2,S,8,2,3,0,1,0
420,0,3,male,3,0,0,0,C,8,1,1,1,0,0
421,0,3,male,2,0,0,0,Q,8,1,1,1,0,0
422,0,3,male,4,0,0,0,S,8,1,1,1,0,0
423,0,3,female,4,1,1,1,S,8,3,3,0,1,0
424,0,3,male,1,1,1,2,S,8,1,3,0,1,0
425,0,3,male,5,0,0,0,S,8,1,1,1,0,0
426,1,2,female,4,1,0,2,S,8,3,2,0,1,0
427,1,2,female,2,0,0,2,S,8,2,1,1,0,0
428,0,3,male,6,0,0,0,Q,8,1,1,1,0,0
429,1,3,male,4,0,0,1,S,5,1,1,1,0,0
430,1,1,male,4,0,0,2,S,3,1,1,1,0,0
431,1,3,female,1,1,0,2,S,8,3,2,0,1,0
432,1,2,female,6,1,0,2,S,8,3,2,0,1,0
433,0,3,male,1,0,0,0,S,8,1,1,1,0,0
434,0,1,male,6,1,0,3,S,5,1,2,0,1,0
435,1,1,female,1,1,2,3,S,2,2,4,0,1,0
436,0,3,female,2,2,2,3,S,8,2,5,0,0,1
437,1,2,female,3,2,3,2,S,8,3,6,0,0,1
438,0,1,male,6,1,4,3,S,3,1,6,0,0,1
439,0,2,male,4,0,0,1,S,8,1,1,1,0,0
440,1,2,female,6,1,1,2,S,8,3,3,0,1,0
441,0,3,male,2,0,0,1,S,8,1,1,1,0,0
442,0,3,male,3,1,0,0,S,8,1,2,0,1,0
443,1,2,female,4,0,0,1,S,8,2,1,1,0,0
444,1,3,male,4,0,0,1,S,8,1,1,1,0,0
445,1,1,male,0,0,2,3,S,1,4,3,0,1,0
446,1,2,female,1,0,1,2,S,8,2,2,0,1,0
447,1,1,male,5,0,0,2,S,8,1,1,1,0,0
448,1,3,female,0,2,1,2,C,8,2,4,0,1,0
